title,date,subpage_url,Therapy class,Product Name,INN,Initial Approval,Cancer,Marketing authorisation holder,CHMP Opinion Date,Decision date,Therapy Area,Orphan,Recommendation
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 22-25 July 2024,26 July 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-22-25-july-2024,L01,Mektovi,binimetinib,Extension,Yes,Pierre Fabre Medicament,nan,17/06/2024,Cancer,No,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 22-25 July 2024,26 July 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-22-25-july-2024,L01,Keytruda,pembrolizumab,Extension,Yes,Merck Sharp & Dohme B.V.,20/05/2015,08/07/2024,Cancer,No,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 22-25 July 2024,26 July 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-22-25-july-2024,C02,Opsumit,macitentan,Extension,No,Janssen-Cilag International N.V.,nan,01/12/2022,Cardiovascular,No,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 22-25 July 2024,26 July 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-22-25-july-2024,L01,Padcev,enfortumab vedotin,Extension,Yes,Astellas Pharma Europe B.V.,24/02/2022,29/11/2023,Cancer,No,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 22-25 July 2024,26 July 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-22-25-july-2024,L01,Rybrevant,amivantamab,Extension,Yes,Janssen-Cilag International N.V.,14/10/2021,27/06/2024,Cancer,No,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 22-25 July 2024,26 July 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-22-25-july-2024,N05,Slenyto,melatonin,Extension,No,RAD Neurim Pharmaceuticals EEC SARL,26/07/2018,16/02/2024,CNS,No,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 22-25 July 2024,26 July 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-22-25-july-2024,L04,Spevigo,spesolimab,Extension,No,Boehringer Ingelheim International GmbH,13/10/2022,nan,Immuo-mod,No,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 22-25 July 2024,26 July 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-22-25-july-2024,L01,Tecentriq,atezolizumab,Extension,Yes,Roche Registration GmbH,19/07/2017,04/07/2024,Cancer,No,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 24-27 June 2024,28 June 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-24-27-june-2024,L01,Balversa,erdafitinib,Initial approval,Yes,Janssen-Cilag International N.V.,27/06/2024,nan,Cancer,No,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 24-27 June 2024,28 June 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-24-27-june-2024,C01,Eurneffy,epinephrine,Initial approval,No,Ars Pharmaceuticals Irl Limited,27/06/2024,nan,Cardiovascular,No,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 24-27 June 2024,28 June 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-24-27-june-2024,J07,mResvia,Single-stranded 5' capped mRNA encoding the Respiratory syncytial virus glycoprotein F stabilized in the prefusion conformation,Initial approval,No,Moderna Biotech Spain S.L.,27/06/2024,nan,Infectives,No,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 24-27 June 2024,28 June 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-24-27-june-2024,Not,Ordspono,odronextamab,Initial approval,No,Regeneron Ireland Designated Activity Company,27/06/2024,nan,NONE,Yes,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 24-27 June 2024,28 June 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-24-27-june-2024,L04,Piasky,crovalimab,Initial approval,No,Roche Registration GmbH,27/06/2024,nan,Immuo-mod,No,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 24-27 June 2024,28 June 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-24-27-june-2024,V09,Tauvid,Flortaucipir (18F),Initial approval,No,Eli Lilly Nederland B.V.,27/06/2024,nan,Various,No,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 24-27 June 2024,28 June 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-24-27-june-2024,C02,Winrevair,sotatercept,Initial approval,No,Merck Sharp & Dohme B.V.,27/06/2024,nan,Cardiovascular,Yes,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 24-27 June 2024,28 June 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-24-27-june-2024,G04,Betmiga,mirabegron,Extension,No,Astellas Pharma Europe B.V.,nan,26/04/2024,GU,No,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 24-27 June 2024,28 June 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-24-27-june-2024,J06,Beyfortus,nirsevimab,Extension,No,Sanofi Winthrop Industrie,15/09/2022,15/07/2024,Infectives,No,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 24-27 June 2024,28 June 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-24-27-june-2024,J02,Cresemba,isavuconazole,Extension,No,Basilea Pharmaceutica Deutschland GmbH,23/07/2005,11/04/2024,Infectives,Yes,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 24-27 June 2024,28 June 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-24-27-june-2024,A08,Imcivree,setmelanotide,Extension,No,Rhythm Pharmaceuticals Netherlands B.V.,20/05/2021,14/05/2024,Alimentary,Yes,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 24-27 June 2024,28 June 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-24-27-june-2024,L01,Imfinzi,durvalumab,Extension,Yes,AstraZeneca AB,26/07/2018,26/07/2024,Cancer,No,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 24-27 June 2024,28 June 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-24-27-june-2024,N/A,Infanrix hexa,"diphtheria, tetanus, pertussis (acellular, component), hepatitis B (rDNA), poliomyelitis (inact.) and haemophilus type B conjugate vaccine (adsorbed)",Extension,N/A,GlaxoSmithkline Biologicals SA,N/A,N/A,N/A,N/A,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 24-27 June 2024,28 June 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-24-27-june-2024,L01,Lynparza,olaparib,Extension,Yes,AstraZeneca AB,nan,12/08/2024,Cancer,No,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 24-27 June 2024,28 June 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-24-27-june-2024,L03,Pegasys,peginterferon alfa-2a,Extension,No,Pharmaand GmbH,21/03/2002,11/10/2023,Immuo-mod,No,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 24-27 June 2024,28 June 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-24-27-june-2024,L01,Tepkinly,epcoritamab,Extension,Yes,AbbVie Deutschland GmbH & Co. KG,20/07/2023,08/04/2024,Cancer,No,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 24-27 June 2024,28 June 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-24-27-june-2024,S01,Vabysmo,faricimab,Extension,No,Roche Registration GmbH,21/07/2022,08/02/2024,Sense organs,No,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 24-27 June 2024,28 June 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-24-27-june-2024,L01,Xalkori,crizotinib,Extension,Yes,Pfizer Europe MA EEIG,19/07/2012,28/10/2022,Cancer,No,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 27-30 May 2024,31 May 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-27-30-may-2024,B01,Adzynma,rADAMTS13,Initial approval,No,Takeda Manufacturing Austria AG,30/05/2024,01/08/2024,Blood,Yes,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 27-30 May 2024,31 May 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-27-30-may-2024,S01,Akantior,polihexanide,Initial approval,No,SIFI SPA,30/05/2024,nan,Sense organs,Yes,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 27-30 May 2024,31 May 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-27-30-may-2024,L01,Cejemly,sugemalimab,Initial approval,Yes,SFL Pharmaceuticals Deutschland GmbH,30/05/2024,nan,Cancer,No,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 27-30 May 2024,31 May 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-27-30-may-2024,N/A,Durveqtix,fidanacogene elaparvovec,Initial approval,N/A,Pfizer Europe MA EEIG,30/05/2024,nan,N/A,No,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 27-30 May 2024,31 May 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-27-30-may-2024,J07,Fluenz,"influenza vaccine (live attenuated, nasal)",Initial approval,No,AstraZeneca AB,21/05/2024,17/07/2024,Infectives,No,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 27-30 May 2024,31 May 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-27-30-may-2024,V09,GalliaPharm,Germanium (68Ge) chloride / Gallium (68Ga) chloride,Initial approval,No,Eckert & Ziegler Radiopharma GmbH,30/05/2024,01/08/2024,Various,No,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 27-30 May 2024,31 May 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-27-30-may-2024,N/A,Ixchiq,Chikungunya vaccine (live),Initial approval,N/A,Valneva Austria GmbH,30/05/2024,nan,N/A,No,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 27-30 May 2024,31 May 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-27-30-may-2024,H04,Zegalogue,dasiglucagon,Initial approval,No,N/A,30/05/2024,nan,N/A,No,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 27-30 May 2024,31 May 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-27-30-may-2024,D11,Dupixent,dupilumab,Extension,No,Sanofi Winthrop Industrie,20/07/2017,28/06/2024,Dermatology,No,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 27-30 May 2024,31 May 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-27-30-may-2024,B01,Eliquis,apixaban,Extension,No,Bristol-Myers Squibb / Pfizer EEIG,17/03/2011,26/07/2024,Blood,No,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 27-30 May 2024,31 May 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-27-30-may-2024,A07,Kinpeygo,budesonide,Extension,No,STADA Arzneimittel AG,19/05/2022,24/07/2024,Alimentary,Yes,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 27-30 May 2024,31 May 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-27-30-may-2024,A05,Livmarli,maralixibat,Extension,No,Mirum Pharmaceuticals International B.V.,13/10/2022,28/06/2024,Alimentary,Yes,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 27-30 May 2024,31 May 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-27-30-may-2024,L04,Skyrizi,risankizumab,Extension,No,AbbVie Deutschland GmbH & Co. KG,28/02/2019,24/07/2024,Immuo-mod,No,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 27-30 May 2024,31 May 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-27-30-may-2024,L01,Tagrisso,osimertinib,Extension,Yes,AstraZeneca AB,17/12/2015,28/06/2024,Cancer,No,Positive
Meeting highlights from the Committee for Medicinal Products for Human Use (CHMP) 27-30 May 2024,31 May 2024,https://www.ema.europa.eu/en/news/meeting-highlights-committee-medicinal-products-human-use-chmp-27-30-may-2024,L01,Tevimbra,tislelizumab,Extension,Yes,BeiGene Ireland Ltd,20/07/2023,08/07/2024,Cancer,No,Positive
